mfcc,spectral_centroid,spectral_bandwidth,spectral_rolloff,zero_crossing_rate,chroma_stft,rms,label
"[-302.54306    127.27121    -14.283487     1.7166896  -11.172331
   -1.439992   -16.781767    -4.3161      -4.781767   -10.560547
   -3.4465292    1.9599619  -11.6650715]",2599.9671904728307,3117.8798374017583,4654.397688827278,0.06489392921282411,"[0.3496129  0.3380766  0.36858195 0.4280699  0.4064556  0.41083345
 0.42631903 0.45297858 0.4682874  0.4246832  0.3769057  0.35792455]",0.07693726,0
"[-300.31802    120.79766    -15.355717    -4.453233    -7.2831383
   -3.8250883  -18.651293   -10.686553    -6.424336    -9.696854
   -5.387023    -2.3560462   -8.352384 ]",2156.1276157126854,2624.2939589586704,3531.6478112755176,0.055172965696352556,"[0.42251062 0.40072218 0.3973518  0.36861905 0.2900508  0.28991047
 0.3133312  0.3360511  0.3499386  0.33247274 0.3370876  0.39358476]",0.09503653,0
"[-3.1964563e+02  1.5258853e+02 -2.5556074e+01 -5.4272953e-02
  5.9655023e+00  7.1613469e+00 -1.2463838e+01 -4.4026527e+00
 -3.9562005e-01 -1.3152404e+01 -3.1715658e+00 -5.8203661e-01
 -2.5253937e+00]",2286.768041358446,2748.406400894146,4366.304430887795,0.05489106074944369,"[0.34814063 0.35492334 0.38553256 0.4300596  0.39409882 0.3965337
 0.42343277 0.45442238 0.46804616 0.4293513  0.3760895  0.3666221 ]",0.061639957,0
"[-309.4732     123.49691    -15.971551     3.4671388   -7.644397
   -3.0918925   -6.1923733   -8.272221    -7.3936415   -7.115531
   -2.1463037   -3.5032666   -3.1484382]",2293.790757305043,2795.999966372026,4012.721061950678,0.06160044627381282,"[0.41488966 0.4037014  0.40888336 0.39359272 0.31993502 0.31979957
 0.33741316 0.36344352 0.3823288  0.37893924 0.38201255 0.4116801 ]",0.054448765,0
"[-296.7996     100.658165   -33.14746      3.2574244  -20.768818
   -2.9884653  -16.20494     -6.5021358   -8.737832   -10.747816
   -5.5653667   -5.0504956   -4.2497816]",2981.977236493902,3231.0580012084547,5455.423261801894,0.07458549003482973,"[0.38841832 0.3894226  0.3859044  0.38315785 0.31129095 0.29347342
 0.30494013 0.33630046 0.38471577 0.3735848  0.3825929  0.38672215]",0.07520604,0
"[-302.35858    103.56801    -36.27772     19.733465   -16.093884
   -1.8589911  -17.378357    -3.805883    -3.3189454  -10.104294
   -1.3206644   -4.3892207   -5.3351   ]",3304.672156464711,3241.0360071695977,6164.012310394192,0.08640361585115132,"[0.40288725 0.3778479  0.39027473 0.39326507 0.34594512 0.3333648
 0.34890264 0.38897914 0.4095027  0.37864015 0.37724468 0.40102175]",0.0646559,0
"[-3.1684995e+02  1.1411616e+02 -2.2938906e+01  2.2759497e-01
 -1.4191995e+01  5.2159367e+00 -1.6862787e+01 -3.6547980e+00
 -8.7983284e+00 -5.9329014e+00 -1.0962651e+01 -3.7574368e+00
  1.2887044e+00]",2551.4748296479197,2925.9207496075132,4535.500742650824,0.06814002551278905,"[0.3793664  0.3588961  0.36753583 0.36637524 0.30433163 0.30850878
 0.31836823 0.34958664 0.37468255 0.37515903 0.38783905 0.40939438]",0.050852988,0
"[-290.81366     121.55478      -3.3144243    40.405895      5.51115
   18.669546     -1.4850568    -3.0147727    -3.3963985    -8.348498
    4.175058     -1.9762746     0.44895318]",2561.9476145620833,2951.720614800646,4756.048440736191,0.060344841638126694,"[0.487459   0.5002499  0.4982384  0.47358766 0.45555693 0.42895675
 0.4031627  0.42719448 0.44136664 0.44470665 0.45699254 0.46704766]",0.07453673,0
"[-410.43344    133.4564      -6.061192    37.453835     1.701992
   16.658413    -6.861817    -4.9339433    4.433239    -2.6455572
    7.5876822    0.9704462    1.3801935]",2516.5288483661157,3091.559611821847,4692.900975842905,0.054488458326124124,"[0.48566023 0.4702639  0.46057686 0.47495463 0.44611573 0.43147707
 0.4101017  0.40281156 0.36637843 0.36998928 0.37616158 0.41938862]",0.019132664,0
"[-353.87653    146.58546    -11.486334    26.642912    15.277832
   22.003124    -4.5194783   -3.105331     1.6450856  -11.614929
    1.9865185   -1.2276391    1.7518835]",2293.025061144787,2833.2412439892273,4418.1818019177335,0.049968812895022086,"[0.49100864 0.48518452 0.4761651  0.4629982  0.41479456 0.40115398
 0.3979219  0.42628458 0.44444796 0.4604878  0.4730426  0.48106307]",0.037689872,0
